(1263029000,1261003000,8)
(1268028000,1261023000,1)
(1263027000,1261004000,8)
(1241015000,1268001000,3)
(1241025000,1261022000,1)
(1263030000,1241013000,1)
(1267030000,1260018000,7)
(1263023000,1241013000,1)
(1260016000,1265029000,6)
(1260019000,1261020000,1)
(1268028000,1268003000,2)
(1268023000,1265024000,10)
(1263017000,1261011000,1)
(1268006000,1265029000,1)
(1263031000,1265026000,10)
(1267026000,1241028000,10)
(1268009000,1262017000,5)
(1260029000,1268036000,10)
(1241017000,1261020000,1)
(1268008000,1260024000,9)
(1265013000,1261014000,8)
(1263033000,1268018000,1)
(1263026000,1261003000,8)
(1267031000,1241022000,7)
(1263020000,1265035000,9)
(1263021000,1267018000,3)
(1262019000,1268024000,2)
(1241019000,1261020000,1)
(1268019000,1268026000,2)
(1263035000,1241020000,3)
(1241026000,1261016000,1)
(1260029000,1241017000,10)
(1268033000,1265029000,1)
(1261018000,1260025000,1)
(1261023000,1265026000,2)
(1261011000,1260033000,10)
(1263017000,1261009000,1)
(1260015000,1262011000,2)
(1260016000,1262020000,2)
(1260027000,1241022000,10)
(1241023000,1261023000,1)
(1267029000,1260012000,7)
(1268023000,1265029000,10)
(1267025000,1260012000,10)
(1260012000,1262014000,2)
(1263030000,1268018000,9)
(1260039000,1267022000,1)
(1241025000,1261023000,1)
(1267031000,1241020000,7)
(1262017000,1241019000,4)
(1241023000,1261004000,10)
(1268035000,1265029000,1)
(1268005000,1267018000,6)
(1268033000,1268001000,1)
(1241018000,1261031000,1)
(1263026000,1268022000,2)
(1267029000,1268018000,9)
(1241018000,1261015000,1)
(1261029000,1265029000,2)
(1241024000,1261031000,1)
(1261030000,1265029000,2)
(1265021000,1263036000,1)
(1267016000,1268003000,6)
(1241028000,1265029000,1)
(1262016000,1260012000,4)
(1268031000,1261004000,10)
(1241020000,1261028000,1)
(1267029000,1241023000,7)
(1267032000,1260016000,7)
(1241024000,1261025000,1)
(1263022000,1265035000,4)
(1265017000,1261014000,8)
(1241022000,1261004000,10)
(1268015000,1265032000,9)
(1267030000,1241015000,7)
(1261032000,1265026000,2)
(1267032000,1268027000,7)
(1260019000,1261019000,1)
(1241027000,1268002000,3)
(1267031000,1241024000,7)
(1263027000,1268012000,2)
(1262019000,1268014000,2)
(1263019000,1268001000,5)
(1262011000,1261003000,8)
(1241024000,1261022000,1)
(1262013000,1260012000,4)
(1265021000,1268021000,1)
(1263029000,1260014000,3)
(1267025000,1268035000,10)
(1263030000,1260015000,1)
(1263017000,1268003000,2)
(1268016000,1265035000,10)
(1267030000,1241020000,7)
(1263030000,1267012000,1)
(1260020000,1262011000,10)
(1268002000,1262019000,3)
(1241018000,1261022000,1)
(1262013000,1241024000,2)
(1267026000,1268032000,10)
(1268002000,1262014000,3)
(1263028000,1268012000,2)
(1261021000,1268012000,4)
(1241020000,1261029000,1)
(1267025000,1260014000,10)
(1263034000,1261003000,9)
(1261017000,1265028000,2)
(1267012000,1261031000,1)
(1267029000,1260015000,7)
(1268023000,1265026000,10)
(1241019000,1261003000,10)
(1260013000,1262017000,2)
(1265014000,1261009000,3)
(1262014000,1241021000,2)
(1260019000,1261017000,1)
(1260027000,1241018000,10)
(1268005000,1260028000,10)
