260011,赤湾,260,地铁二号线,22.47947413023911,113.89872986771447
260012,蛇口港,260,地铁二号线,22.47662421025492,113.91233276443647
260013,海上世界,260,地铁二号线,22.485098636567507,113.91511211576227
260014,水湾,260,地铁二号线,22.488385646573047,113.91968604560233
260015,东角头,260,地铁二号线,22.486319150641414,113.93114639322695
260016,湾厦,260,地铁二号线,22.49334561784959,113.93859973063304
260017,海月,260,地铁二号线,22.500390833663722,113.93768493005912
260018,登良,260,地铁二号线,22.509138886131645,113.93759794823822
260019,后海,260,地铁二号线,22.518413930032093,113.9424928908047
260020,科苑,260,地铁二号线,22.527010239560376,113.94618911915869
260021,红树湾,260,地铁二号线,22.52512952620096,113.9684221865314
260022,世界之窗,260,地铁二号线,22.536950852591772,113.97406842683161
260023,侨城北,260,地铁二号线,22.54397751121663,113.98913599152624
260024,深康,260,地铁二号线,22.54622409750328,113.99910156138033
260025,安托山,260,地铁二号线,22.548769055937182,114.00626952277842
260026,侨香,260,地铁二号线,22.54976926150282,114.01436575670003
260027,香蜜,260,地铁二号线,22.552757854924383,114.02383940118173
260028,香梅北,260,地铁二号线,22.553846731398,114.03270535268896
260029,景田,260,地铁二号线,22.553742123913818,114.04307486388376
260030,莲花西,260,地铁二号线,22.546657234913255,114.05002609153314
260031,福田,260,地铁二号线,22.540454725980723,114.05290464470758
260032,市民中心,260,地铁二号线,22.541735324861524,114.0611863612043
260033,岗厦北,260,地铁二号线,22.54093001372325,114.06923617942321
260034,华强北,260,地铁二号线,22.54443768380741,114.08541309902675
260035,燕南,260,地铁二号线,22.5445393388991,114.09256286771922
260036,大剧院,260,地铁二号线,22.541801752668608,114.10781651665752
260037,湖贝,260,地铁二号线,22.544292230893547,114.1254461944691
260038,黄贝岭,260,地铁二号线,22.54610196508756,114.13634301188935
260039,新秀,260,地铁二号线,22.547696450196753,114.14877755064983
261003,益田,261,地铁三号线,22.516276296858756,114.05097927686352
261004,石厦,261,地铁三号线,22.523697796914686,114.05360878624802
261005,购物公园,261,地铁三号线,22.534645013567932,114.0545739776067
261006,福田,261,地铁三号线,22.540454725980723,114.05290464470758
261007,少年宫,261,地铁三号线,22.548618142925427,114.0601641400202
261008,莲花村,261,地铁三号线,22.54863873532185,114.067824851067
261009,华新,261,地铁三号线,22.549276986578878,114.0866484049213
261010,通新岭,261,地铁三号线,22.54912520803633,114.09627577935784
261011,红岭,261,地铁三号线,22.548381073735722,114.10458877056462
261012,老街,261,地铁三号线,22.544235646383772,114.11694651824878
261013,晒布,261,地铁三号线,22.549242752377857,114.12267267128634
261014,翠竹,261,地铁三号线,22.556287048871862,114.13004901293856
261015,田贝,261,地铁三号线,22.567286090082064,114.13006201727951
261016,水贝,261,地铁三号线,22.573993254903577,114.12498311324585
261017,草埔,261,地铁三号线,22.584450700480932,114.11650743214581
261018,布吉,261,地铁三号线,22.601769733835766,114.12157946616105
261019,木棉湾,261,地铁三号线,22.607003266860143,114.13030306601085
261020,大芬,261,地铁三号线,22.614198484597505,114.13837531864411
261021,丹竹头,261,地铁三号线,22.619760636325573,114.14806649589232
261022,六约,261,地铁三号线,22.63433182601461,114.1806595594695
261023,塘坑,261,地铁三号线,22.639188221051064,114.1927378245742
261024,横岗,261,地铁三号线,22.648449638712886,114.20900499913238
261025,永湖,261,地铁三号线,22.65900145403842,114.2180516379605
261026,荷坳,261,地铁三号线,22.673084546722006,114.22431858033906
261027,大运,261,地铁三号线,22.685724964140856,114.22817089075299
261028,爱联,261,地铁三号线,22.697498940473114,114.23442971863278
261029,吉祥,261,地铁三号线,22.709490213319302,114.24432277020668
261030,龙城广场,261,地铁三号线,22.71691535180183,114.25459469247508
261031,南联,261,地铁三号线,22.721965383517624,114.2655315053812
261032,双龙,261,地铁三号线,22.72880237305637,114.27742026622202
262011,清湖,262,地铁四号线,22.66407255306297,114.03652783841339
262012,龙华,262,地铁四号线,22.651615066036904,114.02240725381938
262013,龙胜,262,地铁四号线,22.644724489120822,114.01199763322371
262014,上塘,262,地铁四号线,22.637119492176488,114.01279566531558
262015,红山,262,地铁四号线,22.62193605795813,114.02349535375839
262016,深圳北站,262,地铁四号线,22.610482652181584,114.03028704808152
262017,白石龙,262,地铁四号线,22.60156219359833,114.04248075641219
262018,民乐,262,地铁四号线,22.594133183428735,114.04880085554711
262019,上梅林,262,地铁四号线,22.570453071494818,114.05943397989886
262020,莲花北,262,地铁四号线,22.56052903048558,114.05939597359918
263011,前海湾,263,地铁五号线,22.53712252955347,113.89793704901149
263012,临海,263,地铁五号线,22.544163278180722,113.88932988644184
263013,宝华,263,地铁五号线,22.54963909806979,113.8850977384141
263014,宝安中心,263,地铁五号线,22.554567716700397,113.88724931142775
263015,翻身,263,地铁五号线,22.55969257409333,113.89323807034677
263016,灵芝,263,地铁五号线,22.568964349090592,113.90416165585214
263017,洪浪北,263,地铁五号线,22.574541983712873,113.91058717447433
263018,兴东,263,地铁五号线,22.581819164570334,113.91901320353658
263019,留仙洞,263,地铁五号线,22.580525960750567,113.94353766390081
263020,西丽,263,地铁五号线,22.580671029095516,113.95383461056423
263021,大学城,263,地铁五号线,22.581934177240214,113.96529764244816
263022,塘朗,263,地铁五号线,22.59008223916924,113.99965353851252
263023,长岭陂,263,地铁五号线,22.599380294705426,114.01026258780195
263024,深圳北站,263,地铁五号线,22.610482652181584,114.03028704808152
263025,民治,263,地铁五号线,22.617533002914456,114.04084049123449
263026,五和,263,地铁五号线,22.626824502504412,114.06067523917172
263027,坂田,263,地铁五号线,22.62747665211165,114.07084855026143
